,mncoef,mncoef_bin,fracODC
279,0.2890829629382453,"(0.269, 0.303]",0.5979381443298969
280,0.3705108957928484,"(0.338, 0.373]",0.5989583333333334
281,0.36109474988913204,"(0.338, 0.373]",0.5611111111111111
282,0.35648995754256474,"(0.338, 0.373]",0.19672131147540983
283,0.3270532882237288,"(0.303, 0.338]",0.23493975903614459
284,0.421870082288137,"(0.407, 0.442]",0.2911392405063291
285,0.37926135770552966,"(0.373, 0.407]",0.3356164383561644
286,0.4201003324540978,"(0.407, 0.442]",0.4900662251655629
287,0.2530287019374938,"(0.234, 0.269]",0.4624277456647399
288,0.34043062174874966,"(0.338, 0.373]",0.4777777777777778
289,0.3845001852458846,"(0.373, 0.407]",0.5210526315789473
290,0.23559236296255198,"(0.234, 0.269]",0.5473684210526316
291,0.4172509624804571,"(0.407, 0.442]",0.5895953757225434
292,0.24432423136617132,"(0.234, 0.269]",0.5698324022346368
293,0.40235865309261937,"(0.373, 0.407]",0.5426829268292683
294,0.4301436769801319,"(0.407, 0.442]",0.4853801169590643
295,0.342160699322644,"(0.338, 0.373]",0.5426829268292683
297,0.47075195881835824,"(0.442, 0.476]",0.43137254901960786
298,0.36693929753904264,"(0.338, 0.373]",0.42138364779874216
299,0.35893397692698137,"(0.338, 0.373]",0.4068965517241379
300,0.4230347248125287,"(0.407, 0.442]",0.3581081081081081
301,0.23974363294017362,"(0.234, 0.269]",0.17142857142857143
302,0.33708700859221746,"(0.303, 0.338]",0.1839080459770115
303,0.379321709836335,"(0.373, 0.407]",0.24050632911392406
308,0.3745915810822874,"(0.373, 0.407]",0.47593582887700536
309,0.390369636499948,"(0.373, 0.407]",0.47093023255813954
310,0.2749930165587152,"(0.269, 0.303]",0.49473684210526314
311,0.3627395925879082,"(0.338, 0.373]",0.4972677595628415
312,0.3095601815929061,"(0.303, 0.338]",0.47513812154696133
313,0.34821710720658594,"(0.338, 0.373]",0.4311377245508982
314,0.4123611268522338,"(0.407, 0.442]",0.5662650602409639
315,0.28364177708758154,"(0.269, 0.303]",0.5357142857142857
316,0.2858013585757913,"(0.269, 0.303]",0.5352941176470588
317,0.34307854689807865,"(0.338, 0.373]",0.5253164556962026
318,0.45789478848370824,"(0.442, 0.476]",0.3783783783783784
319,0.43019512539184857,"(0.407, 0.442]",0.3710691823899371
320,0.4193472964360666,"(0.407, 0.442]",0.3618421052631579
321,0.3974975703233267,"(0.373, 0.407]",0.3125
322,0.3980728828069379,"(0.373, 0.407]",0.31343283582089554
323,0.21924872047367622,"(0.2, 0.234]",0.14965986394557823
324,0.37799478260739955,"(0.373, 0.407]",0.16216216216216217
325,0.1746403883660338,"(0.165, 0.2]",0.21511627906976744
326,0.3561154123043953,"(0.338, 0.373]",0.26627218934911245
327,0.45632194267226267,"(0.442, 0.476]",0.35502958579881655
328,0.41768167667414663,"(0.407, 0.442]",0.4
329,0.38140225346634643,"(0.373, 0.407]",0.41935483870967744
330,0.3886384298267258,"(0.373, 0.407]",0.41578947368421054
331,0.3820036282981999,"(0.373, 0.407]",0.4301675977653631
332,0.4220361509278624,"(0.407, 0.442]",0.4607329842931937
333,0.37695541502876023,"(0.373, 0.407]",0.5
334,0.3512804596339653,"(0.338, 0.373]",0.39751552795031053
335,0.4448024689031835,"(0.442, 0.476]",0.4117647058823529
336,0.344192230470558,"(0.338, 0.373]",0.42857142857142855
337,0.3869605747893242,"(0.373, 0.407]",0.5163398692810458
338,0.38506338743050184,"(0.373, 0.407]",0.48
339,0.31712394171528413,"(0.303, 0.338]",0.47468354430379744
340,0.41396533347338144,"(0.407, 0.442]",0.4444444444444444
341,0.3787802208330905,"(0.373, 0.407]",0.4166666666666667
342,0.4431057518647842,"(0.442, 0.476]",0.4142857142857143
343,0.4272880808625197,"(0.407, 0.442]",0.32608695652173914
344,0.4278564063092165,"(0.407, 0.442]",0.33986928104575165
345,0.35533854447027685,"(0.338, 0.373]",0.3146853146853147
346,0.3737348944944776,"(0.373, 0.407]",0.2662337662337662
347,0.383111940105612,"(0.373, 0.407]",0.25517241379310346
348,0.36039287877741216,"(0.338, 0.373]",0.17164179104477612
349,0.38547720497638793,"(0.373, 0.407]",0.12337662337662338
350,0.32033026290057004,"(0.303, 0.338]",0.11917098445595854
351,0.3485122227789605,"(0.338, 0.373]",0.15934065934065933
352,0.3870871857903748,"(0.373, 0.407]",0.23295454545454544
353,0.4218552325508959,"(0.407, 0.442]",0.31351351351351353
354,0.3552210073519736,"(0.338, 0.373]",0.38636363636363635
355,0.3943937338327163,"(0.373, 0.407]",0.4030612244897959
356,0.4217680422370493,"(0.407, 0.442]",0.41
357,0.43398516893242256,"(0.407, 0.442]",0.4230769230769231
358,0.3600094940323337,"(0.338, 0.373]",0.46153846153846156
359,0.39234768739202375,"(0.373, 0.407]",0.3870967741935484
360,0.39816259731396486,"(0.373, 0.407]",0.4012738853503185
361,0.41042600225554127,"(0.407, 0.442]",0.40540540540540543
362,0.45032959701920044,"(0.442, 0.476]",0.37583892617449666
363,0.36630627151634304,"(0.338, 0.373]",0.4148148148148148
364,0.3575304434716852,"(0.338, 0.373]",0.42567567567567566
365,0.3859510891794861,"(0.373, 0.407]",0.35251798561151076
366,0.3775056173862322,"(0.373, 0.407]",0.3660130718954248
367,0.3897367997396829,"(0.373, 0.407]",0.34265734265734266
368,0.4318299227727618,"(0.407, 0.442]",0.3333333333333333
369,0.4161323652168714,"(0.407, 0.442]",0.34265734265734266
370,0.40181615136369014,"(0.373, 0.407]",0.31343283582089554
371,0.4458143820583104,"(0.442, 0.476]",0.32653061224489793
372,0.43556541319510816,"(0.407, 0.442]",0.2733812949640288
373,0.385834716506763,"(0.373, 0.407]",0.22818791946308725
374,0.3947626288696898,"(0.373, 0.407]",0.20945945945945946
375,0.36272254603216836,"(0.338, 0.373]",0.1506849315068493
376,0.3523771629391814,"(0.338, 0.373]",0.11920529801324503
377,0.38960927523209965,"(0.373, 0.407]",0.12365591397849462
378,0.3827394842460084,"(0.373, 0.407]",0.15428571428571428
379,0.2743064118066728,"(0.269, 0.303]",0.2138728323699422
380,0.35524293713263505,"(0.338, 0.373]",0.28804347826086957
381,0.3771047048278685,"(0.373, 0.407]",0.35359116022099446
382,0.4233828502912363,"(0.407, 0.442]",0.3939393939393939
383,0.40190470550084634,"(0.373, 0.407]",0.4010152284263959
384,0.37124634435983733,"(0.338, 0.373]",0.46408839779005523
385,0.3852722100755285,"(0.373, 0.407]",0.375
386,0.44361625683408923,"(0.442, 0.476]",0.4074074074074074
387,0.40063678577170037,"(0.373, 0.407]",0.3939393939393939
388,0.4401387543247959,"(0.407, 0.442]",0.3805970149253731
389,0.3585732725117604,"(0.338, 0.373]",0.384
390,0.390418791032874,"(0.373, 0.407]",0.3484848484848485
391,0.342990471464549,"(0.338, 0.373]",0.27692307692307694
392,0.4142770023835507,"(0.407, 0.442]",0.29411764705882354
393,0.356119343663954,"(0.338, 0.373]",0.2740740740740741
394,0.41280577710241717,"(0.407, 0.442]",0.2777777777777778
395,0.40801101335443324,"(0.407, 0.442]",0.2986111111111111
396,0.40374393518472884,"(0.373, 0.407]",0.2706766917293233
397,0.4125296487928795,"(0.407, 0.442]",0.2857142857142857
398,0.4243667920460657,"(0.407, 0.442]",0.23622047244094488
399,0.3834895059244713,"(0.373, 0.407]",0.19047619047619047
400,0.3057913960482303,"(0.303, 0.338]",0.18248175182481752
401,0.35855305422776196,"(0.338, 0.373]",0.14285714285714285
402,0.2781349905116258,"(0.269, 0.303]",0.12030075187969924
405,0.35516802977996226,"(0.338, 0.373]",0.13736263736263737
406,0.25337799997034127,"(0.234, 0.269]",0.15568862275449102
407,0.33011659328342413,"(0.303, 0.338]",0.19540229885057472
408,0.27561896316597934,"(0.269, 0.303]",0.2346368715083799
409,0.3715135857935655,"(0.338, 0.373]",0.3058823529411765
410,0.360626821856546,"(0.338, 0.373]",0.35106382978723405
411,0.40675774332025605,"(0.373, 0.407]",0.3641304347826087
412,0.3916666110838393,"(0.373, 0.407]",0.44571428571428573
413,0.37884411625178366,"(0.373, 0.407]",0.37398373983739835
414,0.3841596805383252,"(0.373, 0.407]",0.3597122302158273
415,0.39686368892950336,"(0.373, 0.407]",0.33884297520661155
416,0.31946043421493764,"(0.303, 0.338]",0.3208955223880597
417,0.3449522641861398,"(0.338, 0.373]",0.2971014492753623
418,0.37394562429573536,"(0.373, 0.407]",0.29838709677419356
419,0.27222168182060685,"(0.269, 0.303]",0.24806201550387597
420,0.3368224251812696,"(0.303, 0.338]",0.17164179104477612
421,0.40005616958907875,"(0.373, 0.407]",0.19148936170212766
422,0.4199230126198715,"(0.407, 0.442]",0.17567567567567569
423,0.42337911834573094,"(0.407, 0.442]",0.21019108280254778
425,0.39656733971318114,"(0.373, 0.407]",0.24444444444444444
426,0.3694737191891152,"(0.338, 0.373]",0.2553191489361702
427,0.3194094369627002,"(0.303, 0.338]",0.2109375
428,0.3695203846676821,"(0.338, 0.373]",0.17647058823529413
