perplexity,method
0.15226081,vima
0.1674239,vima
0.20941128,vima
0.23213965,vima
0.29140013,vima
0.7709989,vima
0.3706839,vima
0.5420346,vima
0.28963023,vima
0.24294028,vima
0.12894617,vima
0.39464167,vima
0.38654944,vima
0.3656423,vima
0.5171581,vima
0.24666636,vima
0.16398403,vima
0.14910424,vima
0.15376708,vima
0.14105771,vima
0.210116,vima
0.27303195,vima
0.103530385,vima
0.16277842,vima
0.18493648,vima
0.28518856,vima
0.25196698,vima
0.22367217,vima
0.38074896,vima
0.31563175,vima
0.15585291,vima
0.30248725,vima
0.25918153,vima
0.07023249,vima
0.31406826,vima
0.36122113,vima
0.57477355,vima
0.20008586,vima
0.23314862,vima
0.12614843,vima
0.16401735,vima
0.20430088,vima
0.17137158,vima
0.26898733,vima
0.14228301,vima
0.17801252,vima
0.19003724,vima
0.32905427,vima
0.29398847,vima
0.22364396,vima
0.17509462,vima
0.2298271,vima
0.19922207,vima
0.22964549,vima
0.32130435,vima
0.26596403,vima
0.35877776,vima
0.27888796,vima
0.29995275,vima
0.20960659,vima
0.27028054,vima
0.35288644,vima
0.27089557,vima
0.23784845,vima
0.23979129,vima
0.27527028,vima
0.33302218,vima
0.24340896,vima
0.35312638,vima
0.3098257,vima
0.4170356,vima
0.26241577,vima
0.39279133,vima
0.36477086,vima
0.30806157,vima
0.37328228,vima
0.42877364,vima
0.35094196,vima
0.30141047,vima
0.31222376,vima
0.2511102,vima
0.29275325,vima
0.24040122,vima
0.20674722,vima
0.31241408,vima
0.45030743,vima
0.35542366,vima
0.28177506,vima
0.22433977,vima
0.26884648,vima
0.26189667,vima
0.262709,vima
0.16644727,vima
0.2014886,vima
0.28905767,vima
0.2830579,vima
0.3849808,vima
0.2706406,vima
0.17198275,vima
0.21916236,vima
0.33860335,vima
0.3385235,vima
0.23430023,vima
0.28149998,vima
0.21729457,vima
0.16378027,vima
0.22018069,vima
0.2337499,vima
0.38452077,vima
0.33923772,vima
0.24561092,vima
0.2854544,vima
0.30369443,vima
0.2113479,vima
0.36750835,vima
0.25323236,vima
0.16588722,vima
0.25382528,vima
0.34827188,vima
0.38396513,vima
0.28763875,vima
0.29012766,vima
0.31402326,vima
0.21619762,vima
0.22903608,vima
0.30093268,vima
0.30832657,vima
0.32364213,vima
0.31975582,vima
0.3220506,vima
0.47114605,vima
0.25595313,vima
0.24598865,vima
0.3553239,vima
0.14678766,vima
0.14725187,vima
0.2163469,vima
0.12723558,vima
0.15393183,vima
0.1498196,vima
0.14567652,vima
0.16556494,vima
0.13054796,vima
0.10527004,vima
0.087397955,vima
0.12657219,vima
0.15365605,vima
0.15119204,vima
0.15366828,vima
0.1715494,vima
0.22260068,vima
0.294801,vima
0.18848984,vima
0.108440235,vima
0.13041429,vima
0.17210305,vima
0.18471183,vima
0.24719326,vima
0.13749275,vima
0.12484808,vima
0.14789803,vima
0.18941359,vima
0.15435937,vima
0.11625585,vima
0.1286799,vima
0.20772417,vima
0.18895607,vima
0.11091371,vima
0.29252994,vima
0.15412188,vima
0.11002607,vima
0.10418126,vima
0.104113206,vima
0.120471604,vima
0.26271114,vima
0.14073245,vima
0.13512342,vima
0.23942229,vima
0.23320167,vima
0.16310166,vima
0.17110115,vima
0.15004972,vima
0.121258974,vima
0.13582844,vima
0.15449719,vima
0.22724332,vima
0.08251453,vima
0.24354067,vima
0.17419766,vima
0.10420749,vima
0.10392223,vima
0.12107381,vima
0.14965329,vima
0.15446138,vima
0.14944689,vima
0.20830046,vima
0.12861843,vima
0.20443779,vima
0.077545375,vima
0.12004776,vima
0.05211797,vima
0.05984025,vima
0.27504092,vima
0.24529816,vima
0.1332308,vima
0.10994483,vima
0.10805946,vima
0.13109389,vima
0.15058737,vima
0.09049362,vima
0.16490087,vima
0.12932703,vima
0.14963803,vima
0.19878937,vima
0.07839918,vima
0.088783875,vima
0.15001,vima
0.15068546,vima
0.16077627,vima
0.17033808,vima
0.1193562,vima
0.08763469,vima
0.2940184,vima
0.3634433,vima
0.35004887,vima
0.15756482,vima
0.14193398,vima
0.13709031,vima
0.14738777,vima
0.18626712,vima
0.15052873,vima
0.19892597,vima
0.21746866,vima
0.20579953,vima
0.098201185,vima
0.13845283,vima
0.14228116,vima
0.15359531,vima
0.15019724,vima
0.17942071,vima
0.13842857,vima
0.14063625,vima
0.2317618,vima
0.33229765,vima
0.22814167,vima
0.35734683,vima
0.3143032,vima
0.17776272,vima
0.1165977,vima
0.10965488,vima
0.12657791,vima
0.18946528,vima
0.14539467,vima
0.19334263,vima
0.26782188,vima
0.23710468,vima
0.18672627,vima
0.21248624,vima
0.1853331,vima
0.17643006,vima
0.14786673,vima
0.22132,vima
0.20824446,vima
0.16031185,vima
0.1624685,vima
0.20444937,vima
0.20626089,vima
0.14008328,vima
0.2942,vima
0.25541845,vima
0.18687586,vima
0.16417292,vima
0.122444764,vima
0.13206236,vima
0.14137413,vima
0.23767899,vima
0.12226006,vima
0.09417499,vima
0.12993284,vima
0.17782623,vima
0.0760409,vima
0.33228147,vima
0.36168593,vima
0.24656138,vima
0.4186313,vima
0.30954626,vima
0.35081276,vima
0.23284121,vima
0.24666534,vima
0.1109787,vima
0.09156558,vima
0.07641421,vima
0.13183413,vima
0.232499,vima
0.14194264,vima
0.13451381,vima
0.16841777,vima
0.38389066,vima
0.47861573,vima
0.3588667,vima
0.12899764,vima
0.08529399,vima
0.07458993,vima
0.08205588,vima
0.16031988,vima
0.13225019,vima
0.17031847,vima
0.2704654,vima
0.12100111,vima
0.076397926,vima
0.0688083,vima
0.13416357,vima
0.12577721,vima
0.13196869,vima
0.17137013,vima
0.1385128,vima
0.3190833,vima
0.14311521,vima
0.1994168,vima
0.1046522,vima
0.15275751,vima
0.101228654,vima
0.08546721,vima
0.11643787,vima
0.119169496,vima
0.12777998,vima
0.19329381,vima
0.3740461,vima
0.18202561,vima
0.11979796,vima
0.20105636,vima
0.20790642,vima
0.14878832,vima
0.15784018,vima
0.1257796,vima
0.09336833,vima
0.16337593,vima
0.13442244,vima
0.1175969,vima
0.14985275,vima
0.24816824,vima
0.17781831,vima
0.12678632,vima
0.10449641,vima
0.17835315,vima
0.19394134,vima
0.22194082,vima
0.2704174,vima
0.2505709,vima
0.17124698,vima
0.14105922,vima
0.19374993,vima
0.17256887,vima
0.21075258,vima
0.18234505,vima
0.1583217,vima
0.14775401,vima
0.07907404,vima
0.12779887,vima
0.27856374,vima
0.42952222,vima
0.23728642,vima
0.22492325,vima
0.19121145,vima
0.27612,vima
0.20239031,vima
0.2522161,vima
0.31844407,vima
0.28162614,vima
0.28923893,vima
0.20273477,vima
0.13642834,vima
0.14493062,vima
0.15812205,vima
0.41230407,vima
0.12300199,vima
0.12180447,vima
0.10780505,vima
0.10856256,vima
0.10213897,vima
0.056822106,vima
0.13154921,vima
0.2023507,vima
0.1664892,vima
0.10568025,vima
0.19370915,vima
0.10111826,vima
0.1367927,vima
0.17228837,vima
0.16635548,vima
0.15371677,vima
0.17673554,vima
0.08717713,vima
0.20673843,vima
0.20117643,vima
0.17744087,vima
0.17010184,vima
0.21680751,vima
0.16437124,vima
0.16401234,vima
0.17093825,vima
0.17710872,vima
0.23583254,vima
0.16956446,vima
0.1596858,vima
0.17886877,vima
0.21170475,vima
0.11839242,vima
0.18759722,vima
0.25082645,vima
0.2354968,vima
0.21043134,vima
0.17479034,vima
0.16136792,vima
0.115504466,vima
0.17682359,vima
0.27136078,vima
0.23766412,vima
0.17872894,vima
0.17152277,vima
0.2728593,vima
0.21613713,vima
0.17701712,vima
0.36481807,vima
0.26899517,vima
0.21584605,vima
0.16293192,vima
0.17423142,vima
0.2103901,vima
0.14269869,vima
0.16074875,vima
0.20414536,vima
0.07090531,vima
0.11224743,vima
0.074096896,vima
0.080029905,vima
0.114763424,vima
0.1241921,vima
0.082623504,vima
0.11333212,vima
0.06331903,vima
0.1096726,vima
0.14425057,vima
0.27229673,vima
0.22292791,vima
0.1036592,vima
0.068237215,vima
0.064414926,vima
0.08491971,vima
0.11627352,vima
0.17111985,vima
0.13681556,vima
0.16622959,vima
0.09521213,vima
0.1508604,vima
0.15736097,vima
0.13716927,vima
0.1789787,vima
0.27594084,vima
0.22514346,vima
0.23429932,vima
0.13543583,vima
0.12060262,vima
